"word","n"
"prepare",163
"process",163
"refreshing",163
"tad",163
"treated",163
"undercooked",163
"confused",162
"meet",162
"taro",162
"booths",161
"figure",161
"reminded",161
"step",161
"teas",161
"tom",161
"creamy",160
"cups",160
"upscale",160
"watching",160
"90",159
"overwhelming",159
"seats",159
"telling",159
"trust",159
"answer",158
"fries",158
"picking",158
"speaking",158
"wise",158
"host",157
"kinds",157
"carts",156
"kimchi",156
"stood",156
"glasses",155
"ho",155
"imperial",155
"judge",155
"lee",155
"likes",155
"range",155
"words",155
"bought",154
"changs",154
"dad",154
"feed",154
"lightly",154
"pea",154
"receipt",154
"bomb",153
"gravy",153
"hung",153
"mark",153
"ridiculous",153
"st",153
"writing",153
"discovered",152
"gai",152
"greens",152
"ichiban",152
"luck",152
"maki",152
"market",152
"meant",152
"potatoes",152
"rainbow",152
"shabu",152
"steam",152
"employee",151
"eye",151
"hotpot",151
"paste",151
"reminds",151
"acceptable",150
"brisket",150
"eyes",150
"passed",150
"professional",150
"saigon",150
"salted",150
"authenticity",149
"celery",149
"grace",149
"mien",149
"offering",149
"omg",149
"ownership",149
"fugu",148
"lai",148
"occasions",148
"question",148
"rarely",148
"superb",148
"appeared",147
"bottle",147
"calling",147
"chairs",147
"crave",147
"fault",147
"fell",147
"grocery",147
"would've",147
"bento",146
"book",146
"delish",146
"im",146
"dead",145
"diners",145
"garbage",145
"hell",145
"needless",145
"tuesday",145
"18",144
"comparable",144
"delightful",144
"diner",144
"favor",144
"lazy",144
"liking",144
"relaxing",144
"enjoying",143
"locations",143
"random",143
"remembered",143
"vegetarians",143
"morning",142
"pre",142
"setting",142
"batter",141
"bringing",141
"byob",141
"careful",141
"fire",141
"mother",141
"poisoning",141
"specifically",141
"sticks",141
"system",141
"waitstaff",141
"14",140
"carryout",140
"concept",140
"constantly",140
"hey",140
"answered",139
"haus",139
"minimum",139
"rubbery",139
"story",139
"bonus",138
"common",138
"country",138
"marinated",138
"missed",138
"p.f",138
"pickup",138
"regret",138
"shoots",138
"sounds",138
"wednesday",138
"bo",137
"playing",137
"rib",137
"tired",137
"upset",137
"wood",137
"chopped",136
"downhill",136
"fit",136
"popcorn",136
"cards",135
"chengdu",135
"curd",135
"daily",135
"downside",135
"loaded",135
"sampled",135
"utensils",135
"written",135
"adding",134
"anytime",134
"eater",134
"partner",134
"spinach",134
"spoke",134
"accommodate",133
"gyoza",133
"prior",133
"skewers",133
"cleanliness",132
"hurry",132
"moist",132
"body",131
"children",131
"describe",131
"spoon",131
"tomato",131
"inviting",130
"bathrooms",129
"buds",129
"dropped",129
"fake",129
"handle",129
"hubby",129
"napkins",129
"numerous",129
"stated",129
"afraid",128
"agreed",128
"court",128
"eventually",128
"improved",128
"oriental",128
"post",128
"situation",128
"tangy",128
"tax",128
"york",128
"fu",127
"iced",127
"improve",127
"moment",127
"parties",127
"runs",127
"spiced",127
"sucks",127
"sun",127
"awkward",126
"cleaning",126
"didnt",126
"exact",126
"foot",126
"nepali",126
"sauteed",126
"tapioca",126
"apps",125
"balanced",125
"knowledgeable",125
"topped",125
"60",124
"generic",124
"miles",124
"pain",124
"salads",124
"chestnuts",123
"desired",123
"diet",123
"fall",123
"gonna",123
"hint",123
"hopes",123
"legit",123
"trash",123
"travel",123
"cart",122
"drove",122
"impression",122
"mini",122
"strips",122
"wrap",122
"bacon",121
"bay",121
"brother",121
"excuse",121
"previously",121
"trouble",121
"annoying",120
"bones",120
"cons",120
"description",120
"fillet",120
"gotta",120
"learned",120
"parma",120
"preparation",120
"sausage",120
"subpar",120
"warning",120
"confusing",119
"effort",119
"fishy",119
"joints",119
"meatballs",119
"rushed",119
"search",119
"spicier",119
"zen",119
"16",118
"2nd",118
"beijing",118
"complained",118
"entrance",118
"satisfy",118
"shell",118
"spiciness",118
"wai",118
"coffee",117
"dozen",117
"mussels",117
"occasion",117
"vermicelli",117
"lukewarm",116
"machine",116
"refilled",116
"stayed",116
"timely",116
"weekday",116
"advice",115
"ample",115
"asparagus",115
"bourbon",115
"cmu",115
"costs",115
"filet",115
"hits",115
"lit",115
"mile",115
"patient",115
"standing",115
"chew",114
"desk",114
"francisco",114
"ive",114
"pearl",114
"photos",114
"sample",114
"starting",114
"beware",113
"chang",113
"complimentary",113
"consisted",113
"memorable",113
"rolled",113
"suggestions",113
"vip",113
"35",112
"assume",112
"bell",112
"distance",112
"grew",112
"jasmine",112
"stew",112
"terrific",112
"bakery",111
"child",111
"cover",111
"goo",111
"handmade",111
"highlight",111
"informed",111
"joke",111
"messed",111
"regulars",111
"starving",111
"sweetness",111
"battered",110
"broken",110
"depending",110
"poorly",110
"posted",110
"thrown",110
"appears",109
"appetizing",109
"blue",109
"filthy",109
"ingredient",109
"lakewood",109
"nope",109
"servings",109
"staying",109
"thursday",109
"tray",109
"alcohol",108
"apologized",108
"aware",108
"cities",108
"palate",108
"pros",108
"spending",108
"triple",108
"view",108
"beautifully",107
"bet",107
"closest",107
"comparison",107
"concerned",107
"doughy",107
"essentially",107
"friend's",107
"lights",107
"luckily",107
"match",107
"patio",107
"superior",107
"yuck",107
"00",106
"bc",106
"board",106
"boneless",106
"deserves",106
"falls",106
"fork",106
"grubhub",106
"inconsistent",106
"ladies",106
"lime",106
"ratio",106
"recipe",106
"secret",106
"spacious",106
"suppose",106
"toppings",106
"tossed",106
"air",105
"contained",105
"names",105
"nicer",105
"pig",105
"scallop",105
"shocked",105
"support",105
"terribly",105
"thumbs",105
"count",104
"creative",104
"faster",104
"mayo",104
"mill",104
"oyster",104
"private",104
"slight",104
"sound",104
"begin",103
"carrot",103
"handful",103
"key",103
"knowing",103
"pots",103
"silverware",103
"skeptical",103
"watched",103
"delicate",102
"desert",102
"doors",102
"freezer",102
"freshness",102
"intimate",102
"originally",102
"repeat",102
"reviewer",102
"sizzling",102
"social",102
"ya",102
"address",101
"assortment",101
"bitter",101
"blah",101
"dip",101
"dog",101
"equally",101
"exception",101
"keeping",101
"managed",101
"massive",101
"tv",101
"windows",101
"block",100
"cauliflower",100
"deals",100
"delivers",100
"enter",100
"hang",100
"jimmy",100
"send",100
"throwing",100
"department",99
"god",99
"groupon",99
"helping",99
"mad",99
"sounded",99
"spoiled",99
"sriracha",99
"trendy",99
"uncomfortable",99
"underwhelming",99
"wasabi",99
"accept",98
"decision",98
"flaming",98
"grit",98
"hearty",98
"manner",98
"midwest",98
"pasta",98
"preferred",98
"reasons",98
"sautéed",98
"urbana",98
"wisconsin",98
"yelpers",98
"17",97
"adequate",97
"cucumbers",97
"design",97
"diverse",97
"heaven",97
"jelly",97
"microwave",97
"movie",97
"allowed",96
"condiments",96
"gate",96
"grabbed",96
"mi",96
"natt",96
"northern",96
"seared",96
"sell",96
"shit",96
"worker",96
"wrapper",96
"4th",95
"final",95
"gentleman",95
"numbing",95
"peak",95
"slimy",95
"talked",95
"2.5",94
"ave",94
"brings",94
"burrito",94
"crappy",94
"gift",94
"overpowering",94
"potential",94
"satay",94
"smoked",94
"snack",94
"styrofoam",94
"till",94
"burger",93
"cares",93
"cleaned",93
"competition",93
"eaters",93
"establishments",93
"event",93
"follow",93
"majority",93
"noted",93
"pink",93
"select",93
"tucked",93
"watered",93
"0",92
"blown",92
"cuisines",92
"kee",92
"lunches",92
"mixture",92
"rave",92
"result",92
"siu",92
"spil",92
"tells",92
"warned",92
"weather",92
"akron",91
"barrier",91
"bubbles",91
"chive",91
"chongqing",91
"class",91
"continued",91
"convenience",91
"coupons",91
"coworkers",91
"def",91
"eh",91
"exciting",91
"fellow",91
"kent",91
"learn",91
"lounge",91
"page",91
"period",91
"personable",91
"tomorrow",91
"almond",90
"apologize",90
"appearance",90
"bf",90
"coke",90
"considered",90
"crepe",90
"directly",90
"entrée",90
"fav",90
"growing",90
"jiang",90
"lomein",90
"response",90
"ruined",90
"steaming",90
"tho",90
"apartment",89
"apology",89
"frills",89
"grand",89
"grub",89
"italian",89
"lotus",89
"mac",89
"pack",89
"restaurant's",89
"sooo",89
"suggestion",89
"wet",89
"allergy",88
"annoyed",88
"asians",88
"budget",88
"decently",88
"french",88
"hearing",88
"lj",88
"neat",88
"play",88
"shut",88
"soaked",88
"sold",88
"soooo",88
"swimming",88
"taipei",88
"bed",87
"chunk",87
"custard",87
"deserve",87
"donuts",87
"granted",87
"happily",87
"individual",87
"nigiri",87
"pull",87
"removed",87
"sakura",87
"shumai",87
"silk",87
"swear",87
"win",87
"attempt",86
"ball",86
"breast",86
"exotic",86
"fluffy",86
"martini",86
"monroeville",86
"moon",86
"noon",86
"packets",86
"recall",86
"surprising",86
"thicker",86
"alternative",85
"btw",85
"burned",85
"canned",85
"complaining",85
"complex",85
"could've",85
"entering",85
"fridge",85
"haha",85
"lastly",85
"placing",85
"requests",85
"searching",85
"tokyo",85
"wondering",85
"worry",85
"burgh",84
"diced",84
"easier",84
"handed",84
"helps",84
"hip",84
"impossible",84
"inspired",84
"news",84
"reheated",84
"relaxed",84
"signature",84
"staples",84
"unprofessional",84
"weak",84
"1st",83
"acupuncture",83
"checks",83
"correctly",83
"courses",83
"drenched",83
"fool",83
"improvement",83
"juice",83
"kidding",83
"opportunity",83
"passing",83
"planning",83
"rated",83
"reliable",83
"romantic",83
"rough",83
"services",83
"suspect",83
"upstairs",83
"weekly",83
"western",83
"wonderfully",83
"30pm",82
"arrives",82
"art",82
"assuming",82
"background",82
"beers",82
"darn",82
"drinking",82
"eager",82
"mid",82
"outdoor",82
"preference",82
"thankfully",82
"americans",81
"appealing",81
"bass",81
"comments",81
"community",81
"dive",81
"everytime",81
"momos",81
"questionable",81
"risk",81
"signs",81
"stellar",81
"strongly",81
"whatsoever",81
"yelled",81
"了",81
"appetite",80
"caught",80
"coast",80
"coated",80
"explore",80
"fiance",80
"hesitant",80
"husband's",80
"photo",80
"pile",80
"speedy",80
"tavernakaya",80
"unpleasant",80
"wife's",80
"4.5",79
"accurate",79
"angry",79
"beginning",79
"classy",79
"cle",79
"combos",79
"form",79
"hanging",79
"heavily",79
"hoisin",79
"peppercorns",79
"pitt",79
"practically",79
"pricy",79
"speed",79
"spit",79
"szechwan",79
"winner",79
"wrote",79
"aka",78
"banana",78
"buck",78
"cuts",78
"enormous",78
"ethnic",78
"focus",78
"girls",78
"guessing",78
"ordinary",78
"overs",78
"proceeded",78
"replaced",78
"ridiculously",78
"specific",78
"taco",78
"updated",78
"volcano",78
"waters",78
"wished",78
"很",78
"additionally",77
